                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,0.78994,0.76383,1.2021,0.79101,0.81282,0.86963,0.66631,0.86328,0.68483,1.3227,0.00054795,0.00054795,0.00054795
2,0.86663,0.83294,1.2639,0.8226,0.80123,0.87284,0.65596,0.92568,0.68281,1.406,0.0010927,0.0010927,0.0010927
1,0.73995,0.72087,1.1707,0.7757,0.8481,0.88986,0.69228,0.89808,0.65339,1.3372,0.00054795,0.00054795,0.00054795
2,0.79757,0.76323,1.2124,0.76564,0.76259,0.82821,0.64834,0.87827,0.81821,1.3384,0.0010818,0.0010818,0.0010818
3,0.89707,0.85568,1.2766,0.69316,0.72438,0.75757,0.54232,1.0046,0.99033,1.4734,0.0015936,0.0015936,0.0015936
4,0.90594,0.88055,1.2858,0.7246,0.69948,0.76716,0.52896,1.1764,0.91326,1.6355,0.001568,0.001568,0.001568
5,0.90388,0.87234,1.2757,0.69248,0.65188,0.72109,0.50564,1.1905,1.0083,1.7207,0.001568,0.001568,0.001568
1,0.79661,0.7824,1.2159,0.82689,0.82255,0.90538,0.70636,0.78579,0.63043,1.2732,0.00055178,0.00055178,0.00055178
2,0.80514,0.78393,1.2256,0.80533,0.8117,0.86866,0.65903,0.86052,0.7028,1.3209,0.0010831,0.0010831,0.0010831
3,0.85704,0.83355,1.2526,0.62496,0.64322,0.69344,0.49299,1.0137,1.0464,1.5237,0.0015899,0.0015899,0.0015899
4,0.8907,0.85319,1.2755,0.72275,0.70751,0.76594,0.5657,0.99046,0.89116,1.4704,0.001557,0.001557,0.001557
5,0.87849,0.86,1.2639,0.6647,0.75416,0.78775,0.55662,1.0581,0.91799,1.4759,0.001557,0.001557,0.001557
6,0.86543,0.84282,1.259,0.78545,0.84129,0.87881,0.67753,0.8311,0.65753,1.2907,0.0015203,0.0015203,0.0015203
7,0.86333,0.82039,1.2595,0.64765,0.78604,0.80927,0.59862,0.90845,0.98312,1.3618,0.0014836,0.0014836,0.0014836
8,0.87057,0.84573,1.2677,0.70183,0.8219,0.83624,0.6394,0.8813,0.77993,1.3336,0.001447,0.001447,0.001447
9,0.84572,0.80446,1.2472,0.80274,0.83647,0.89631,0.69142,0.87081,0.65998,1.3188,0.0014103,0.0014103,0.0014103
10,0.88303,0.82403,1.2742,0.70244,0.80123,0.82024,0.587,1.0206,0.84995,1.5015,0.0013736,0.0013736,0.0013736
11,0.86635,0.83219,1.2678,0.82968,0.80361,0.90336,0.66293,0.92718,0.70432,1.3703,0.0013369,0.0013369,0.0013369
12,0.84525,0.80256,1.2417,0.75597,0.86606,0.8754,0.68546,0.76528,0.6553,1.2449,0.0013003,0.0013003,0.0013003
13,0.84852,0.80198,1.252,0.81746,0.79055,0.88108,0.68753,0.8163,0.6739,1.2725,0.0012636,0.0012636,0.0012636
14,0.80991,0.77325,1.2258,0.77104,0.84984,0.87456,0.65485,0.95024,0.69856,1.3722,0.0012269,0.0012269,0.0012269
15,0.81026,0.7745,1.2314,0.80615,0.80148,0.88648,0.67077,0.83122,0.66936,1.3215,0.0011902,0.0011902,0.0011902
16,0.79794,0.74908,1.2272,0.77427,0.75028,0.8391,0.65245,0.9168,0.80483,1.3691,0.0011536,0.0011536,0.0011536
17,0.83868,0.77039,1.2403,0.77136,0.82621,0.87691,0.70281,0.77564,0.64834,1.2539,0.0011169,0.0011169,0.0011169
18,0.79354,0.75472,1.2192,0.83434,0.82913,0.8932,0.7005,0.78187,0.62702,1.2453,0.0010802,0.0010802,0.0010802
19,0.80006,0.74206,1.2166,0.80415,0.82819,0.89577,0.71232,0.77057,0.61699,1.2238,0.0010435,0.0010435,0.0010435
20,0.77373,0.7274,1.2057,0.79015,0.84664,0.88269,0.70729,0.78198,0.61711,1.2635,0.0010069,0.0010069,0.0010069
21,0.77097,0.70144,1.1922,0.80594,0.83962,0.88329,0.70533,0.76333,0.6258,1.2361,0.00097019,0.00097019,0.00097019
22,0.77529,0.70321,1.211,0.78302,0.86033,0.90758,0.72681,0.75766,0.63262,1.2443,0.00093352,0.00093352,0.00093352
23,0.76032,0.68886,1.1941,0.67678,0.87074,0.84125,0.67091,0.80074,0.80907,1.2756,0.00089685,0.00089685,0.00089685
24,0.75651,0.69001,1.1889,0.72255,0.81534,0.84491,0.64673,0.90251,0.69791,1.3967,0.00086017,0.00086017,0.00086017
25,0.75515,0.66603,1.1926,0.85205,0.84322,0.91993,0.74306,0.73694,0.56031,1.2419,0.0008235,0.0008235,0.0008235
26,0.77796,0.70847,1.2019,0.82561,0.85922,0.91893,0.74635,0.71161,0.57177,1.1968,0.00078682,0.00078682,0.00078682
27,0.75344,0.66818,1.1893,0.82962,0.86077,0.90804,0.7361,0.71125,0.58944,1.1884,0.00075015,0.00075015,0.00075015
28,0.72333,0.65939,1.1649,0.82829,0.85383,0.90267,0.71835,0.78451,0.61247,1.238,0.00071348,0.00071348,0.00071348
29,0.74647,0.65279,1.193,0.8313,0.8325,0.91433,0.74232,0.74177,0.58053,1.2203,0.0006768,0.0006768,0.0006768
30,0.72363,0.63404,1.1743,0.74673,0.85216,0.87192,0.67708,0.84333,0.77306,1.3175,0.00064013,0.00064013,0.00064013
31,0.71904,0.61575,1.1681,0.80184,0.89303,0.90082,0.74342,0.75067,0.57143,1.2229,0.00060345,0.00060345,0.00060345
32,0.7312,0.63213,1.1771,0.8357,0.89185,0.91931,0.76068,0.73005,0.5367,1.2046,0.00056678,0.00056678,0.00056678
33,0.71267,0.62461,1.1688,0.82941,0.892,0.91012,0.74456,0.72435,0.56633,1.2225,0.00053011,0.00053011,0.00053011
34,0.70618,0.62446,1.1757,0.85,0.86601,0.90984,0.74485,0.72864,0.55284,1.2233,0.00049343,0.00049343,0.00049343
35,0.68388,0.6088,1.1489,0.85877,0.86783,0.91777,0.75579,0.7215,0.55531,1.1938,0.00045676,0.00045676,0.00045676
36,0.58454,0.47948,1.1056,0.78687,0.8639,0.89642,0.73482,0.70558,0.6055,1.2137,0.00042008,0.00042008,0.00042008
37,0.56819,0.4642,1.0945,0.81335,0.89192,0.91319,0.74586,0.72623,0.55414,1.2202,0.00038341,0.00038341,0.00038341
38,0.5637,0.4379,1.0988,0.84592,0.8115,0.89488,0.74429,0.69856,0.62817,1.1912,0.00034674,0.00034674,0.00034674
39,0.54866,0.45047,1.0847,0.819,0.87728,0.91167,0.74731,0.71336,0.56533,1.2043,0.00031006,0.00031006,0.00031006
40,0.54215,0.42356,1.0803,0.84785,0.8544,0.91066,0.74995,0.7251,0.56321,1.2177,0.00027339,0.00027339,0.00027339
41,0.53145,0.41306,1.0715,0.85115,0.85006,0.91609,0.76629,0.70186,0.53512,1.1953,0.00023671,0.00023671,0.00023671
1,0.54869,0.42415,1.0811,0.82431,0.84485,0.88686,0.72011,0.75331,0.61112,1.2295,0.00055178,0.00055178,0.00055178
2,0.62104,0.49254,1.1403,0.82555,0.80089,0.86656,0.6648,0.87106,0.83875,1.3135,0.00099781,0.00099781,0.00099781
3,0.66265,0.55102,1.1725,0.64978,0.81007,0.82187,0.64975,0.82719,0.93001,1.2751,0.0013338,0.0013338,0.0013338
4,0.67594,0.56615,1.1811,0.8395,0.78451,0.86713,0.66428,0.85632,0.71145,1.2856,0.0011719,0.0011719,0.0011719
5,0.68207,0.56956,1.1758,0.74521,0.85983,0.88272,0.67879,0.84536,0.68483,1.3215,0.0011719,0.0011719,0.0011719
6,0.67321,0.56813,1.1674,0.64034,0.87023,0.83377,0.67609,0.78928,0.87849,1.2634,0.0010069,0.0010069,0.0010069
7,0.61397,0.53663,1.1347,0.73982,0.87636,0.88918,0.69488,0.82669,0.63807,1.2983,0.00084184,0.00084184,0.00084184
8,0.60985,0.49123,1.1123,0.81945,0.8348,0.88661,0.72675,0.72478,0.62014,1.2181,0.0006768,0.0006768,0.0006768
9,0.59057,0.47448,1.1036,0.81782,0.85851,0.90999,0.74017,0.73099,0.57432,1.2051,0.00051177,0.00051177,0.00051177
10,0.55944,0.43439,1.0766,0.86293,0.8244,0.89824,0.73337,0.72969,0.59642,1.2245,0.00034674,0.00034674,0.00034674
